81;23;0;Spawn
0;0;Air; ;false
1;0;Air; ;false
2;0;Air; ;false
3;0;Air; ;false
4;0;Air; ;false
5;0;Air; ;false
6;0;Air; ;false
7;0;Air; ;false
8;0;Air; ;false
9;0;Air; ;false
10;0;Air; ;false
11;0;Air; ;false
12;0;Air; ;false
13;0;Air; ;false
14;0;Air; ;false
15;0;Air; ;false
16;0;Air; ;false
17;0;Air; ;false
18;0;Air; ;false
19;0;Air; ;false
20;0;Air; ;false
21;0;Air; ;false
22;0;Air; ;false
23;0;Air; ;false
24;0;Air; ;false
25;0;Air; ;false
26;0;Air; ;false
27;0;Air; ;false
28;0;Air; ;false
29;0;Air; ;false
30;0;Air; ;false
31;0;Air; ;false
32;0;Air; ;false
33;0;Air; ;false
34;0;Air; ;false
35;0;Air; ;false
36;0;Air; ;false
37;0;Air; ;false
38;0;Air; ;false
39;0;Air; ;false
40;0;Air; ;false
41;0;Air; ;false
42;0;Air; ;false
43;0;Air; ;false
44;0;Air; ;false
45;0;Air; ;false
46;0;Air; ;false
47;0;Air; ;false
48;0;Air; ;false
49;0;Air; ;false
50;0;Air; ;false
51;0;Air; ;false
52;0;Air; ;false
53;0;Air; ;false
54;0;Air; ;false
55;0;Air; ;false
56;0;Air; ;false
57;0;Air; ;false
58;0;Air; ;false
59;0;Air; ;false
60;0;Air; ;false
61;0;Air; ;false
62;0;Air; ;false
63;0;Air; ;false
64;0;Air; ;false
65;0;Air; ;false
66;0;Air; ;false
67;0;Air; ;false
68;0;Air; ;false
69;0;Air; ;false
70;0;Air; ;false
71;0;Air; ;false
72;0;Air; ;false
73;0;Air; ;false
74;0;Air; ;false
75;0;Air; ;false
76;0;Air; ;false
77;0;Air; ;false
78;0;Air; ;false
79;0;Air; ;false
80;0;Air; ;false
0;1;Air; ;false
1;1;Wall;#;true
2;1;Wall;#;true
3;1;Wall;#;true
4;1;Wall;#;true
5;1;Wall;#;true
6;1;Wall;#;true
7;1;Wall;#;true
8;1;Wall;#;true
9;1;Wall;#;true
10;1;Wall;#;true
11;1;Wall;#;true
12;1;Wall;#;true
13;1;Wall;#;true
14;1;Wall;#;true
15;1;Wall;#;true
16;1;Wall;#;true
17;1;Wall;#;true
18;1;Wall;#;true
19;1;Wall;#;true
20;1;Wall;#;true
21;1;Wall;#;true
22;1;Wall;#;true
23;1;Wall;#;true
24;1;Wall;#;true
25;1;Wall;#;true
26;1;Wall;#;true
27;1;Wall;#;true
28;1;Wall;#;true
29;1;Wall;#;true
30;1;Wall;#;true
31;1;Wall;#;true
32;1;Wall;#;true
33;1;Wall;#;true
34;1;Wall;#;true
35;1;Wall;#;true
36;1;Wall;#;true
37;1;Wall;#;true
38;1;Wall;#;true
39;1;Wall;#;true
40;1;Wall;#;true
41;1;Wall;#;true
42;1;Wall;#;true
43;1;Wall;#;true
44;1;Wall;#;true
45;1;Wall;#;true
46;1;Wall;#;true
47;1;Wall;#;true
48;1;Wall;#;true
49;1;Wall;#;true
50;1;Wall;#;true
51;1;Wall;#;true
52;1;Wall;#;true
53;1;Wall;#;true
54;1;Wall;#;true
55;1;Wall;#;true
56;1;Wall;#;true
57;1;Wall;#;true
58;1;Wall;#;true
59;1;Wall;#;true
60;1;Wall;#;true
61;1;Wall;#;true
62;1;Wall;#;true
63;1;Wall;#;true
64;1;Wall;#;true
65;1;Wall;#;true
66;1;Wall;#;true
67;1;Wall;#;true
68;1;Wall;#;true
69;1;Wall;#;true
70;1;Wall;#;true
71;1;Wall;#;true
72;1;Wall;#;true
73;1;Wall;#;true
74;1;Wall;#;true
